name,user rating,user review,is_valid,negative,neutral,positive,compound
The Mummy,2.5,"❎ the best universal monster movie
✅ the best ride at universal studios hollywood",True,0.0,0.669,0.331,0.8555
One Battle After Another,4.0,very good film made by maya rudolph's partner,True,0.0,0.687,0.313,0.4927
Lilith Fair: Building a Mystery,4.0,"received a letter in the mail this week stating that i would get my lesbian card revoked if i didn't go see the new documentary on lilith fair 😬
and i honestly can't stop thinking about this! pretty standard quality for a music doc but the subject matter really did it for me, tons of great footage of performances and backstage stuff during the full run of the festival. i even wrote down a quote from one of the indigo girls because it struck me as so poetic, describing the festival experience as 'crystallized moments of sheer joy' love!",True,0.033,0.695,0.272,0.9852
The Passion of Joan of Arc,5.0,"foundational in a way that transcends language. in the theater i got emotional thinking about just how much love and care so many people must have poured into restoring and remastering a film such as this that's nearly 100 years old. cinema is beautiful and this is one of the clearest examples of that beauty, i feel lucky to even be able to see something like this",True,0.0,0.709,0.291,0.9726
House,4.5,finally showed this to my dad and about five minutes in he hits me with a 'this is odd' well yes my dude! why do you think we're watching it?,True,0.067,0.785,0.148,0.4199
Honey Don’t!,2.0,and i wish that honey didn't 😔,True,0.123,0.605,0.272,0.3565
Black Swan,4.5,a plethora of all timers in this but i gotta say 'did you have some sort of lezzy wet dream about me?' still hits like a ton of bricks,True,0.0,0.824,0.176,0.6956
Scott Pilgrim vs. the World,5.0,"oh i'd love to postpone darlin', but i just cashed my last rain check 
what's that from? 
MY BRAIN 😡",True,0.063,0.824,0.113,0.2846
Freakier Friday,,perfect example of a movie that shouldn't exist ❤️,True,0.0,0.709,0.291,0.5719
Sky High,4.0,that one dudes name was WARREN PEACE,True,0.0,0.586,0.414,0.6408
Weapons,4.0,"this fucking rocks. i will say, my biggest problem with it is the same problem i had with barbarian: it's kind of a one and done sorta plot for me, extremely entertaining when going in cold with a packed crowd, but i don't feel very compelled to revisit any time soon now that i know what happens. not a huge detriment, so i don't mind. honestly i just love how popular horror movies like this are becoming. the masses crave original scares!!!!!!",True,0.187,0.648,0.165,0.4412
Superman,3.5,i like that he is nice and flies fast and has a silly dog. kinda feels like a ray of sunshine in these trying times i'm not gonna lie,True,0.0,0.67,0.33,0.8696
Drive,5.0,one of the best movies ever like. absolute dynamite,True,0.0,0.417,0.583,0.8126
Portrait of a Lady on Fire,5.0,it was actually very fun to see this in theaters again and when strangers asked if i was excited or if i liked the movie or whatever i answered by silently pulling up my sleeve and showing them the portrait tat on my arm that i got earlier this year... that one girl who still doesn't joke about portrait of a lady on fire (me!),True,0.058,0.818,0.124,0.7001
Materialists,3.5,"i think for me the biggest issue were the tonal changes throughout, but otherwise i was truly enveloped. marketing it as a rom-com was definitely a mistake, and i think if it loses you at any point it might shatter the whole facade. and i was waiting for it to lose me but it never did, i bought what it was selling from start to finish. reminded me of classic romance dramas touting the shiniest stars in hollywood spitting out vapid truths at each other but still maintaining complete sincerity, sincerity which i feel is rare to sell nowadays, but even rarer that audiences let themselves enjoy it. i really think song is such a strong filmmaker",True,0.081,0.746,0.173,0.9442
Paddington,4.5,I LOVE THE BEAR (and my friends!!!),True,0.0,0.359,0.641,0.8723
Zenon: Girl of the 21st Century,,when the edible tastes like i need to press play on zenon girl of the 21st century,True,0.0,0.754,0.246,0.5994
Decalogue I,4.5,"giving the almighty dekalog another stab because i've always had a tender spot for kieślowski but am ashamed to say i never finished the whole series
and my god this first entry is jaw dropping. some of his best work, i think, even on its own. i've thought about it quite a lot in the almost 3 years since i first saw it. almost a shame it didn't get its own extended movie like episodes 5 and 6 did with short films about killing/love. and with a heart wrenching ending that probably serves as a good test to see if the rest of the series, and his work at large, is your kind of thing. it is VERY much my thing, so i'm back for more",True,0.068,0.778,0.153,0.9296
Gaslight,4.0,cannot actually BELIEVE how many times i thought to myself 'he is literally gaslighting her' before i was like ooooh haha yeah. right,True,0.0,0.722,0.278,0.7717
Mickey 17,4.0,oh mickey you're so pretty can't you understand it's GUYS LIKE YOU MICKEY oh what you DO mickey DO mickey DON'T BREAK my HEART mickey,True,0.118,0.661,0.221,0.5329
Meeting People Is Easy,,a more traditional kind of music doc would have just done a disservice to the band. sheer brilliance,True,0.0,0.813,0.187,0.5994
A Complete Unknown,3.0,"fun fact: in 88' my dad tried to convince my mom to name my older brother duncan idaho from his favorite book, dune. my mom said no, but somehow they agreed on dylan for his middle name, after this weirdo. so kudos to timmy for making these recent movies, if only so my old man can enjoy them",True,0.059,0.691,0.25,0.9199
Conclave,4.0,"♫ CONCLAVE POPE RACE ♫
the winner of CONCLAVE POPE RACE receives a one year supply of gammarelli roma cardinal robes, and a GAG worthy grand prize of POPE OF VATICAN CITY. with EXTRA special guest nun, isabella rossalini!
♫ CONCLAVE POPE RACE may the best cardinal BEST CARDINAL WINNNNNNNN ♫",True,0.044,0.603,0.353,0.9719
The Monkey,3.5,who else up late playing with their monkey?,True,0.0,0.795,0.205,0.2023
Paddington in Peru,3.5,not to sound predictable but this was so silly and cute and genuinely kinda life affirming at the end... which is like yeah! of course! it is a paddington film after all,True,0.0,0.687,0.313,0.9147
Emilia Pérez,,uh so anyways... a few films i recommend instead of this: monica and sujo,True,0.0,0.839,0.161,0.3612
Wicked,3.5,"to the absolute diva behind me in the theater who kept her singing mostly contained throughout but then belted out the big line in defying gravity: well queen, that was certainly a choice",True,0.0,0.844,0.156,0.6956
Nosferatu,3.5,love the vibes but that mustache was SO unserious... behaving like he wanted the baudelaire fortune,True,0.0,0.659,0.341,0.8039
Disturbing Behavior,5.0,"'DO GOOD THINGS, LUNCH BOY'",True,0.0,0.58,0.42,0.4404
La Cocina,4.0,"AFI 2024: film #14
the american dream has become a machine, and we are all cogs",True,0.0,0.882,0.118,0.25
Nightbitch,3.0,"AFI 2024: film #8
amy adams q&a was kinda life changing... also i'm one of about a dozen people on earth who are gonna gasp at the yeah yeah yeahs needle drop
also i've been making daily tiktoks during the festival in case u wanna follow along",True,0.04,0.816,0.144,0.6705
The Seed of the Sacred Fig,4.5,"AFI 2024: film #2
'this isn't the court, this is your home'
nothing short of remarkable. i fully recommend going in cold, not because it contains too many major twists, but because the nuances in plot are so painstakingly layered that i'm glad i didn't know much beforehand. intricately and delicately built from the ground up, no moment wasted. astounding stuff",True,0.064,0.727,0.209,0.8951
Anora,3.5,mikey madison was born to grace the big screen,True,0.0,0.741,0.259,0.4215
Eternal Sunshine of the Spotless Mind,5.0,"genuinely can't remember how long it's been since i've watched this in full, well over a decade according to my diary on this app. it was definitely watched with my dad, i think on dvd, in our living room. maybe my mom joined us, but probably not, it would have been too weird for her taste. i remember loving it instantly but maybe feeling a little too young for it to fully envelop me. it seems like i've lived many lives since that viewing, and have since embraced more than a few charlie kaufman films with open arms, falling in love with his morbid vision of the world. but this rewatch transported me back to beginning, since this was definitely my introduction to his writing, all those years ago on a day i can't even recall
what magic, conjured up and bottled. conceptually it's maybe the most accessible of kaufman's museum of cinematic oddities that i've seen, and emotionally solid to the core, managing to worm its way into the hearts of millions over the years. i thought i might not cry, and then clem starts to fade away, the two of them finally meeting for the first time and saying goodbye all at once. a packed house with many people sniffling loudly after the lights came up, and plenty of people crowding the sink in the women's room using wet paper towels to wipe away tear stains
i think what got to me, to get personal for a moment, is just how much my dreams nowadays blur the lines of reality and memory. having lost my mother a decade ago, and my brother almost a year ago, and more than a few beloved pets in between, i close my eyes every night and sometimes happen upon them, waiting to greet me, or haunt me. they show up, and my mind knows somewhere that they're gone, they're not coming back. that weird ache, that sensation of loss. and sometimes we speak about it, or i ask about it. why are you here? where did you go? how are you back? this isn't right, it's all wrong. memory is the most commonplace ghost on earth, and when memories shape my dreams it can make or break my day when i open my eyes
grief is a part of life and this film beautifully encapsulates grieving those who are still meandering around somewhere, trying not to think of us as we try not to think of them. loss in any form is profound, but it was cathartic for me to revisit such a film with new memories and losses of my own, many lives into the one i've got
i don't want to jinx it, but i've really been falling back in love with movies these days. really hoping i don't fuck it up",True,0.082,0.791,0.127,0.9839
Stop Making Sense,5.0,"rewatched twice in a row and the second time i took notes LMAO. here's what i wrote:
   • this is just one gal's opinion, but cutting 'cities' out and leaving 'swamp' in was crazy work
   • jerry harrison's shoes look at times like his bare feet and it always takes me out
   • during 'burning down the house' i was drumming so hard on my leg with the pen i was holding that it unscrewed without me noticing and flew apart into three pieces 
   • all things considered, and this is a tough choice, i think that my favorite performance is 'what a day that was'... so fucking high energy and visually striking with the use of shadows, i get goosebumps bitch. especially the close ups and most especially the shot of lynn and ednah with jerry framed between them on the keys... like COME ONNNNNNN",True,0.084,0.815,0.101,0.5691
Stop Making Sense,5.0,"rewatched in imax!!!! physically could not keep still!!! so many little moments and cuts that i'm obsessed with at this point... watching my vhs tape a lot has deepened my appreciation for it, but seeing it in a packed house felt so electric and joyful. this is kinda what life is all about",True,0.046,0.805,0.149,0.8499
Nosferatu,,"rewatched as a part of silents synced which played two radiohead albums during the film, (amnesiac and kid a, in that order). i love stuff like this conceptually and i literally have the amnesiac cover tattooed on my arm, so i secured a ticket for it instantaneously. and what a fun experience!!! really added an interesting layer to a macabre classic. new ways of playing stuff like silent films should be commonplace in repertory cinemas, very cool indeed. kudos to this guy for actually making it happen",True,0.0,0.722,0.278,0.9812
All the Silence,4.0,"seen at the hola mexico film festival
our protagonist, miriam, is well embedded in the local deaf community, raised a CODA and even teaching sign language for work. as she begins to lose her hearing, the grief is tinged with inevitability, her denial only half-hearted as she struggles to join a world she's been adjacent to her entire life
what struck me the most, aside from the singular performance by adriana llabrés, is the focus on the relationships in her character's life. the coworker she befriends who has been deaf since birth, his perspective challenging her to see her 'loss of hearing' as something to adapt to, to shift the way she sees life and art. meanwhile, her girlfriend lola is hearing impaired and wears hearing aids, her parents raised her to speak and she never learned sign language. this contrast creates a genuine divide in their relationship, the friction caused by lola's firm belief to try and operate in the able bodied world, seeing herself as 'normal'. when miriam's hearing starts to dissipate, their mutual misunderstanding of each other intensifies and it's heart wrenching to witness
still, seeing her navigate the local intersecting queer and deaf communities, the world a blend of spoken spanish and mexican sign language, a whirl of bodies dancing and laughing, is a truly welcome surprise. i adore how much compassion was clearly poured into this film, making it a highlight for me in recent years. i highly highly recommend checking it out",True,0.055,0.8,0.146,0.9746
"Paris, Texas",4.5,the sentiment! the earnestness on display! it all feels so universal despite being so specific... and instantly became my all time favorite performance by a child actor. life changing stuff just as i knew it would be,True,0.0,0.909,0.091,0.555
Alien: Romulus,,sequels prequels and reboots are so interesting nowadays... kinda like the viral videos of that guy who turns cookies into pancakes into milkshakes into cereal and back into cookies or whatever... for what it's worth though this was fucking GNARLY,True,0.0,0.83,0.17,0.7648
Blue Moon Angels,,"biting new short film by clementine narcisse, unbelievable how gorgeous the lighting was. this is the real deal!!! i know you have 10 minutes to spare, so here's the link to watch it for free",True,0.0,0.762,0.238,0.8743
Le Samouraï,4.0,everybody was like oh handsome boy let's hate on him,True,0.226,0.427,0.348,0.25
Stop Making Sense,5.0,"rewatched it last night, (as i have many nights this week, month, year, all in incomplete ways), rewound the vhs tape, watched it again, rewound it one more time, watched the first half again. late summer is typically a melancholy time for me, the past decade’s balmy air streaked with grief. this tape has been a recent comfort during my late night loneliness, like a group of friends to keep me company 
it’s hard to imagine 
that nothing at all
could be so exciting 
could be this much fun",True,0.097,0.756,0.147,0.7365
Trap,,ultimate girl dad movie. if my dad was a filmmaker he would most definitely cast me as a popstar too!,True,0.0,0.853,0.147,0.5081
Twister,4.5,came home and found roomie watching this for the first time ever in her bedroom… i said bring that party into the living room because i’m home from work and it’s TWISTER TIME,True,0.0,0.922,0.078,0.4019
Black Narcissus,4.0,GORGEOUS… sister ruth we love you so much… i might have to make her a fancam,True,0.0,0.781,0.219,0.6369
Crip Camp: A Disability Revolution,5.0,"i was incredibly lucky to find myself this past weekend at the academy museum in LA, rewatching this a few seats away from filmmaker jim leberecht. later when i spoke to him, he asked if i was one of the people he heard laughing so hard during the movie. it was
this remains one of the most impactful films i’ve yet to see in my life. i just turned 30, and most of my days so far i’ve spent isolated from other disabled people, surrounded by able bodied peers, trying to keep up in my wheelchair. trying, and often failing, to match their work ethic, energy levels, social lives. it is a high bar to set for myself, but it’s all i’ve known
at this event i was overwhelmed by solidarity, hearing disabled creative professionals discuss the industry and how vital it is that we continue to kick the doors down to participate, to be seen, to be heard, to be present both in front of and behind the camera
i’m so thankful for this movie and for this community. this experience was the exact dream i had in mind when i used to envision my life here. to be a part of something special, even for a day, even for a moment. i’ve said it before and i’ll say it again: this movie is essential viewing. and yes, i’m talking to you",True,0.02,0.852,0.127,0.9807
Kinds of Kindness,4.0,"love love love. like glimpsing yorgo’s version of dekalog. throughout it can feel a tad slow and maybe even self indulgent, but the humor and irony always makes it worthwhile for me. at this point, the more i think about it, the more it clicks. also worth noting is that my packed theater was roaring and ready to laugh at the start, but by the end it felt like i was the only person in hysterics over emma stone peeling out in that ridiculous purple dodge challenger, or the fact that a child is only referred to by her parents as “little one”. and MAN emma’s dramatic monologue in the center of the film is an all timer",True,0.058,0.727,0.215,0.9664
Poor Things,4.5,"“in fact, when i list the ways you’ve wronged me, jesus christ himself would probably beat your head in with a bat”
still can’t beat most of his previous films in my personal opinion, but all things considered, yorgos is maybe my favorite filmmaker working right now (alongside lynne ramsay). the satisfaction and excitement i’ve been experiencing watching his career trajectory, especially now that he’s found a creative bond with emma stone, is almost indescribable. makes me feel like a kid on christmas morning",True,0.02,0.786,0.194,0.9601
The Idea of You,2.0,near the end when anne hathaway is flipping through channels on cable and “it’s always sunny in philadelphia” pops up on the tv and it’s literally the clip of charlie saying “milk steak”… incredible stuff,True,0.0,0.924,0.076,0.4215
Challengers,4.5,"luca guadagnino has his finger on the pulse of what the masses currently crave in a film… zendaya, and homoeroticisim. in that order
also INSTANTLY my favorite score in a decade. reznor and ross have done it again",True,0.0,0.925,0.075,0.4588
"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",5.0,this viewing i actually cried when she was peeling those potatoes… cinema is so fawking powerful,True,0.132,0.711,0.156,0.1226
Dune,4.5,my third viewing and i’m more captivated than ever. BLESS THE MAKER AND HIS WATER…,True,0.0,0.669,0.331,0.7526
Blow Out,4.0,an ending so good i had to rewind that fucker and play it again… christ almighty,True,0.183,0.555,0.262,0.2123
Bad CGI Sharks,,"such a good time, it got a laugh out of me every single time it cut to a shark floating in mid air",True,0.073,0.699,0.227,0.6597
Poor Things,4.5,"a cinematic feast. there are a handful of small lulls in the second act, but as a complete picture it devours. the absurdity and tragedy of living boiled down to a rich concentrate and then spray painted all over the walls. i’m craving that rewatch already
gotta be a career best for emma stone, and i don’t say that lightly. her character progression is so intuitive that it’s sometimes almost difficult to watch. human nature captured in facial expressions and body language, the kind of performance that some have attempted but i doubt anyone has pulled off quite like this. and the way the score accompanies her journey, starting with single notes plunking carelessly, eventually finding their footing and growing wilder and more complex with purpose
and i’m trying to avoid sharing any possible spoilers here because i think going in colder will probably be a richer experience, but i do have to say that the cut from black and white to color is an all timer for me. all things considered, this is probably yorgos’s most heartwarming and hopeful film to date. what a delicacy",True,0.089,0.76,0.151,0.9521
Thanksgiving,3.5,"during a particularly gruesome scene, someone behind me exclaimed “that’s fucking disgusting”, and the person next to them immediately followed that with “this is so gross”. suffice it to say i had a fabulous time",True,0.0,0.909,0.091,0.5267
Taylor Swift: The Eras Tour,,"it is with a heavy heart that i announce that this was, in fact, quite an enjoyable experience… the things i do for my niece",True,0.0,0.757,0.243,0.8115
Talk to Me,3.5,had the best montage i’ve seen in a while,True,0.0,0.656,0.344,0.6369
Passages,3.5,one of the best love triangle castings in film history,True,0.0,0.488,0.512,0.8555
Romy and Michele’s High School Reunion,5.0,made another tiktok about rewatching this at a fun outdoor screening. what a classic,True,0.0,0.798,0.202,0.5106
No Hard Feelings,3.0,"when it’s good, it’s really good. but when it’s bad… ANYWAYS, hoping this is the start of a jlaw comedy reign, let’s keep it going",True,0.0,0.656,0.344,0.8749
Asteroid City,4.0,hands down favorite wes since grand budapest. i’m talking like huge smile plastered on my face the whole time + had to call my dad immediately afterwards to make sure he sees it as soon as he possibly can,True,0.0,0.679,0.321,0.9274
Past Lives,4.5,oh you gotta be kidding me 🥹,True,0.0,0.811,0.189,0.1027
Whip It,5.0,"my girl has to take a break from that talk show to come back and DIRECT. we NEED you, drew. also i have to mention that before this screening i had the most incredible cherry cheesecake and cannot stop thinking about it",True,0.0,0.956,0.044,0.2235
Fast X,3.0,"cannot stop thinking about dame helen mirren’s delivery of the stupendous line “well it ain’t no roman holiday” these movies make me squirm in my theater seat with pure joy and disbelief. holy shit. can’t believe we’re in the fucking avengers era of the fast series. this gargantuan beast is literally just a bunch of things haphazardly hot glued together, but i had a fuckin’ blast. it’s not good, but man is it fun",True,0.084,0.816,0.1,0.3149
Sick of Myself,4.5,"a satirical stinger, both hilarious and horrific. narcissism dialed up so high that it teeters into munchausen territory. one surprising addition was the layered criticisms of able bodied people seemingly uplifting people with illness/disability, but only if they’re still outwardly conventionally attractive and profitable to them. when that stops being true their social niceties try to mask clear discomfort as they’re unsure of what they got themselves into, just as our protagonist, (if you even want to call her that), is unsure as well
i’ve read some reviews wishing that the final act packed a bit more of a punch, and while i understand the let down, i personally disagree. it felt fitting to see a character so privileged and vain doing such unspeakable things in an effort to garner attention from others and it falls flat. and it’s so interesting to sympathize with her when she’s suffering, but recoil upon remembering that the suffering is of her own creation. such a twisted experience",True,0.144,0.665,0.191,0.8706
The Super Mario Bros. Movie,1.5,koopa troopas are so loved (by me),True,0.0,0.546,0.454,0.7177
Josie and the Pussycats,5.0,"SHAPESHIFTER
GUEST LISTER
BIG FAKER SHE’LL TURN AROUND YOU’LL DISS HER
GATE CRASHER
REHASHER
IF YOU THINK THAT’S COOL, WHATEVER DUUUUDE
WHATEVER DUUUUUUDE",True,0.0,0.905,0.095,0.3182
80 for Brady,3.0,"lives were changed, hearts were healed",True,0.0,0.538,0.462,0.6486
Theater Camp,4.0,"due to my little to no interest in theater i was really surprised at how much i loved this. among other things it feels like glee meets wet hot american summer, but thankfully unlike glee, (a piece of cursed media which remains a black hole of despair), is pleasantly good natured while never sacrificing its biting sense of humor. i truly couldn’t stop laughing. entire cast tore up every scene, (ayo!!! PATTI!!!) but molly gordon, that’s my GIRL… “get off the stick… get off the stick…”",True,0.072,0.605,0.323,0.9853
Gummo,,"i want a mustache, dammit",True,0.0,0.755,0.245,0.0772
Babylon,2.5,"well, fuck… i guess…
(keeping my many negative thoughts on this motion picture to myself and only mentioning that a few scenes were very fun and li jun li‘s marlene dietrich-esque lesbian serve should have been the focus of the movie, duhhhh. it’s my review and i get to say what i WANT!)",True,0.061,0.807,0.132,0.5136
Eyes Wide Shut,3.5,a very fun movie because i get to laugh at tom cruise the entire time,True,0.0,0.644,0.356,0.8016
Radiohead: In Rainbows - From the Basement,,literally the greatest band in the world LMAO,True,0.0,0.405,0.595,0.87
M3GAN,4.0,this movie will be the key to world peace,True,0.0,0.696,0.304,0.5423
TÁR,4.5,like watching a star fizzle out and collapse into a supermassive black hole. i love movies!,True,0.138,0.561,0.301,0.5848
Monica,3.5,"AFI 2022: film #10
“what’s your name again? please remind me”
i wish there was a bit more dialogue, maybe along a slightly longer timeline, but it manages to say so much while still keeping an air of mystery that adds an emotional weight to every scene. and such a lovely and tender performance by trace lysette",True,0.0,0.833,0.167,0.8625
The Five Devils,4.0,"AFI 2022: film #8
“could you live without her?”
it’s giving mid-budget mid-january indie sci fi thriller, but better and frencher. i approached this viewing from more of a popcorn movie perspective, which allowed me to really enjoy the supernatural layers and not come at it too seriously. also, it contains my favorite sub-genre in all of cinema: surprise lesbians, and one of the best “random-homophbic-one-liners-from-a-child” of all time. thank you adele exarchopoulos for this much needed boost of seratonin. mmmmmm",True,0.034,0.685,0.28,0.9808
Joyland,3.5,"AFI 2022: film #5
“whatever i’m doing, i’m doing for myself”
an impactful ensemble about autonomy and identity. takes a bold change in direction by the final act that i wasn’t anticipating, but the more i sit with it, the more correct it feels. a wonderful and haunting piece of filmmaking",True,0.046,0.835,0.119,0.6369
De Humani Corporis Fabrica,,"AFI 2022: film #4 
“i need a vacation”
there’s some wildly fascinating stuff going on here, but much of it is essentially youtube videos of various surgeries randomly placed around other odd hospital footage. most of the editing choices don’t feel purposeful and lack human interest to the point of confusion: i don’t mind cold subject matter, but you can only stare at a close up of internal organs so many times in a row before it feels lackluster. but i did add bonus points for how funny and alarming it was to hear surgeons bickering with each other during a surgery. best laugh of the fest so far",True,0.077,0.725,0.198,0.9598
Bruiser,4.0,"AFI 2022: film #3
“it’s not a good way to be”
a stunning debut that frames greek tragedy using a modern lense. equal parts compelling and visually striking with a tight script and strong performances, especially by trevante rhodes. it appears to have been picked up by hulu so i highly recommend seeking it out when it drops on the platform",True,0.094,0.757,0.149,0.4679
Trick ’r Treat,5.0,thank you anna paquin,True,0.0,0.545,0.455,0.3612
House on Haunted Hill,2.5,pressing play on a feature starring ali larter and you just know it’s about to be a hoot and a half,True,0.0,0.893,0.107,0.34
Decision to Leave,4.5,"another off-kilter love story from one of the only true visionary filmmakers working today… calmer than the handmaiden, but stings all the same. and tang wei’s performance might be the most i’ve fallen for a femme fatale in… maybe ever",True,0.078,0.743,0.179,0.4181
Bride of Frankenstein,4.0,"and elsa lanchester, who plays bride, she gave everything",True,0.0,0.8,0.2,0.25
Smile,3.5,"we are now living in a post it follows world, and i am not immune to the movies it inspires. the thread of trauma throughout this is interesting at first but ends up a bit too heavy handed and clunky for my taste, especially near the end. besides that, (and a few lulls in the plot), it kept my attention and has a few choice sequences of absolute terror. i had fun! and that’s most of what i need from a movie like this",True,0.082,0.796,0.122,0.5924
World of Tomorrow,5.0,“you are alive and living now. now is the envy of all of the dead”,True,0.119,0.734,0.147,0.128
Barbarian,3.5,"doesn’t quite reach the level that malignant is on, but did more for me than X (and a certain related prequel). personally i cannot get enough of these silly billy nightmare movies",True,0.0,0.853,0.147,0.4582
BLACKPINK: Light Up the Sky,,i’m throwing a rosé is ADORED party on this letterboxd review and it starts right NOW,True,0.0,0.692,0.308,0.7378
May,4.0,she did what she needed to do. also: horndog lipstick lesbian anna faris??? like?????????,True,0.0,0.79,0.21,0.5362
Gutted,,"tense and contemplative with a beautiful score and impactful performances, this was a joy to watch and assist in the edit. endlessly in awe of jacob and his ability to create things like this from start to finish. for those interested you can check it out on vimeo here",True,0.039,0.681,0.28,0.9313
Nope,4.5,"absolutely TERRIFYING but in the same vein doubles as a much needed outrageous and original summer blockbuster. the kind of horror movie that made me laugh with relief after a jump scare and anxiously grab for more popcorn, which now that i’m actually thinking about it is quite a rare feat nowadays. the perfect storm of jaws and super 8 and probably many other things but completely its own and distinctly made. countless people say this daily now but jordan peele truly is like… unbelievably great at this movie making thing",True,0.141,0.579,0.28,0.9708
Fire of Love,3.5,when tilda swinton and john c reilly reunite for this biopic and both earn oscars for kissing near erupting volcanoes,True,0.0,0.837,0.163,0.5719
Thor: Love and Thunder,2.5,almost 30 feature length entries into this franchise and now it feels to me like the human brain can only really take in so many of these generic deep fried mega tentpole adventures before it starts to collapse in on itself and now they don’t really look like much of anything anymore and aren’t very distinguishable from each other regardless of content. i shouldn’t be zoning out every single movie during the most high energy fight scenes. this was fine! but are we done?,True,0.045,0.858,0.097,0.3996
National Treasure,4.0,"snuck jell-o shots into the theater with a bunch of friends and turned it into a rowdy screening ALSO unironically cried when they found the national treasure. incredible movie, phenomenal time",True,0.072,0.78,0.148,0.4019
Elvis,2.0,the longest movie i have ever seen + WISHES it served charisma uniqueness nerve and talent the way that dewey cox did and i am so serious,True,0.056,0.777,0.166,0.5254
Marcel the Shell with Shoes On,4.5,going to need every single one of you to RUN to the theater to see this when it’s playing near you. just the most poignant little film that made me cry so much. i am very happy it exists and will be rewatching it one million more times when i am sad. and that’s all i know for sure,True,0.091,0.791,0.119,0.2247
