name,user rating,user review,is_valid,negative,neutral,positive,compound,clean_title_x,matched_title,imdb_id,title,original_title,clean_title_y,genres,plot,directors,writers,actors,companies
Frankenstein,3.5,the overwhelming urge to create life vs the shock in realizing you never wanted to actually care for your creation. victor you DEADBEAT! he went out to buy beakers & test tubes and never came back! COULDN'T EVEN GIVE OUR GUY A NAME 😭,TRUE,0.104,0.75,0.146,0.3147,frankenstein,frankenstein,tt2286560,Frankenstein,Frankenstein,frankenstein,"Drama, Horror",Staying as close to the novel as much as possible. Victor Frankenstein creates a chemical that could bring the dead back to life.,,,,
Frankenstein,3.5,the overwhelming urge to create life vs the shock in realizing you never wanted to actually care for your creation. victor you DEADBEAT! he went out to buy beakers & test tubes and never came back! COULDN'T EVEN GIVE OUR GUY A NAME 😭,TRUE,0.104,0.75,0.146,0.3147,frankenstein,frankenstein,tt4086032,Frankenstein,Frankenstein,frankenstein,"Horror, Sci-Fi, Thriller",A married couple of scientists create a modern-day monster.,,,,
Frankenstein,3.5,the overwhelming urge to create life vs the shock in realizing you never wanted to actually care for your creation. victor you DEADBEAT! he went out to buy beakers & test tubes and never came back! COULDN'T EVEN GIVE OUR GUY A NAME 😭,TRUE,0.104,0.75,0.146,0.3147,frankenstein,frankenstein,tt1606380,Frankenstein,Frankenstein,frankenstein,Horror,,,,,
Frankenstein,3.5,the overwhelming urge to create life vs the shock in realizing you never wanted to actually care for your creation. victor you DEADBEAT! he went out to buy beakers & test tubes and never came back! COULDN'T EVEN GIVE OUR GUY A NAME 😭,TRUE,0.104,0.75,0.146,0.3147,frankenstein,frankenstein,tt6412160,Frankenstein,Frankenstein,frankenstein,Animation,"A monstrous, misunderstood being, created from human remains, is bent on revenge and only his creator, a young scientist, can stop him.",,,,
Frankenstein,3.5,the overwhelming urge to create life vs the shock in realizing you never wanted to actually care for your creation. victor you DEADBEAT! he went out to buy beakers & test tubes and never came back! COULDN'T EVEN GIVE OUR GUY A NAME 😭,TRUE,0.104,0.75,0.146,0.3147,frankenstein,frankenstein,tt0021884,Frankenstein,Frankenstein,frankenstein,"Drama, Horror, Sci-Fi, Thriller",Dr Henry Frankenstein is obsessed with assembling a living being from parts of several exhumed corpses.,,,,
Disposable Humanity,4,"superfest 2025: film #10
'if we had been alive today during the war, we wouldn't be here today. then you would not be able to get to know us anymore'
been anticipating catching this doc all year and finally got my chance thanks to superfest, (where it's playing free all weekend on vimeo). i found it often hard to watch but quite informative, i agree with many reviews relating it to something that might appear on PBS, in a complimentary way. on a personal note, i can't remember the last time i cried for such a long time, broken only by the brief pauses i took to dry my eyes and wipe off my glasses. back as a disabled teenager i remember reading dozens of wikipedia articles about T4 and wondering why i hadn't heard more about it, why it wasn't an integral piece of widespread holocaust history. this answers many of those questions and hopefully helps forge a path forward for disabled people as a collective so we can educate, grieve, and strive for better. i definitively recommend this one as a 'must see' film",TRUE,0.068,0.791,0.141,0.9293,disposable humanity,disposable humanity,tt7336082,Disposable Humanity,Disposable Humanity,disposable humanity,Documentary,"A family investigates the history and memory of the Nazi Aktion T4 program, its targeting of over 300,000 disabled people, and its catalyzation of the Holocaust.",,,,
Little Monsters,,"superfest 2025: film #7
a great short! sickly funny and down to earth. a particularly good line: 'you guys are the worst handicapped kids in all of france'",TRUE,0.106,0.622,0.272,0.7495,little monsters,little monsters,tt0097758,Little Monsters,Little Monsters,little monsters,"Adventure, Comedy, Family, Fantasy","11-year-old Bryan Stevenson is drawn into a world of magic , mischief and wonder . After moving to a new town . He offers a sleep in his 6 year old brother Eric Stevenson's room and soon discovers there really is a monster Under the Bed.",,,,
Little Monsters,,"superfest 2025: film #7
a great short! sickly funny and down to earth. a particularly good line: 'you guys are the worst handicapped kids in all of france'",TRUE,0.106,0.622,0.272,0.7495,little monsters,little monsters,tt12708536,Little Monsters,Little Monsters,little monsters,"Fantasy, Horror",,,,,
Little Monsters,,"superfest 2025: film #7
a great short! sickly funny and down to earth. a particularly good line: 'you guys are the worst handicapped kids in all of france'",TRUE,0.106,0.622,0.272,0.7495,little monsters,little monsters,tt2189714,Little Monsters,Little Monsters,little monsters,"Crime, Drama, Horror, Thriller",2 Little Monsters tells the fictional story of two boys who are released from prison on their eighteenth birthdays after killing a three-year old boy when they were ten.,,,,
Little Monsters,,"superfest 2025: film #7
a great short! sickly funny and down to earth. a particularly good line: 'you guys are the worst handicapped kids in all of france'",TRUE,0.106,0.622,0.272,0.7495,little monsters,little monsters,tt14521146,Little Monsters,Little Monsters,little monsters,Horror,,,,,
Little Monsters,,"superfest 2025: film #7
a great short! sickly funny and down to earth. a particularly good line: 'you guys are the worst handicapped kids in all of france'",TRUE,0.106,0.622,0.272,0.7495,little monsters,little monsters,tt7390588,Little Monsters,Little Monsters,little monsters,"Comedy, Horror, Sci-Fi",A washed-up musician teams up with a teacher and a kids'-show personality to protect young children from a sudden outbreak of zombies.,,,,
Audio Description,,"superfest 2025: film #1
such an interesting and well executed concept!!! lee pugsley is so naturally funny",TRUE,0,0.613,0.387,0.834,audio description,,,,,,,,,,,
The Mummy,2.5,"❎ the best universal monster movie
✅ the best ride at universal studios hollywood",TRUE,0,0.669,0.331,0.8555,the mummy,the mummy,tt0120616,The Mummy,The Mummy,the mummy,"Action, Adventure, Fantasy","At an archaeological dig in the ancient city of Hamunaptra, an American serving in the French Foreign Legion accidentally awakens a mummy who begins to wreak havoc as he searches for the reincarnation of his long-lost love.",,,,
The Mummy,2.5,"❎ the best universal monster movie
✅ the best ride at universal studios hollywood",TRUE,0,0.669,0.331,0.8555,the mummy,the mummy,tt2345759,The Mummy,The Mummy,the mummy,"Action, Adventure, Fantasy, Horror, Thriller","An ancient Egyptian princess is awakened from her crypt beneath the desert, bringing with her malevolence grown over millennia and terrors that defy human comprehension.",,,,
The Mummy,2.5,"❎ the best universal monster movie
✅ the best ride at universal studios hollywood",TRUE,0,0.669,0.331,0.8555,the mummy,the mummy,tt0053085,The Mummy,The Mummy,the mummy,"Adventure, Horror","In 1895, British archaeologists find and open the tomb of Egyptian Princess Ananka with nefarious consequences.",,,,
The Mummy,2.5,"❎ the best universal monster movie
✅ the best ride at universal studios hollywood",TRUE,0,0.669,0.331,0.8555,the mummy,the mummy,tt32612507,Lee Cronin's The Mummy,The Mummy,the mummy,Horror,,,,,
The Mummy,2.5,"❎ the best universal monster movie
✅ the best ride at universal studios hollywood",TRUE,0,0.669,0.331,0.8555,the mummy,the mummy,tt0197710,The Mummy,The Mummy,the mummy,Comedy,,,,,
The Mummy,2.5,"❎ the best universal monster movie
✅ the best ride at universal studios hollywood",TRUE,0,0.669,0.331,0.8555,the mummy,the mummy,tt29464904,The Mummy,The Mummy,the mummy,Documentary,,,,,
The Mummy,2.5,"❎ the best universal monster movie
✅ the best ride at universal studios hollywood",TRUE,0,0.669,0.331,0.8555,the mummy,the mummy,tt22408968,The Mummy,The Mummy,the mummy,Action,Reboot of Universal's Mummy franchise.,,,,
The Mummy,2.5,"❎ the best universal monster movie
✅ the best ride at universal studios hollywood",TRUE,0,0.669,0.331,0.8555,the mummy,the mummy,tt0023245,The Mummy,The Mummy,the mummy,"Fantasy, Horror",A resurrected Egyptian mummy searches Cairo for the girl he believes to be his long-lost princess.,,,,
One Battle After Another,4,very good film made by maya rudolph's partner,TRUE,0,0.687,0.313,0.4927,one battle after another,one battle after another,tt30144839,One Battle After Another,One Battle After Another,one battle after another,"Action, Crime, Drama, Thriller","When their evil enemy resurfaces after 16 years, a group of ex-revolutionaries reunite to rescue one of their own's daughter.",,,,
Lilith Fair: Building a Mystery,4,"received a letter in the mail this week stating that i would get my lesbian card revoked if i didn't go see the new documentary on lilith fair 😬
and i honestly can't stop thinking about this! pretty standard quality for a music doc but the subject matter really did it for me, tons of great footage of performances and backstage stuff during the full run of the festival. i even wrote down a quote from one of the indigo girls because it struck me as so poetic, describing the festival experience as 'crystallized moments of sheer joy' love!",TRUE,0.033,0.695,0.272,0.9852,lilith fair building a mystery,lilith fair building a mystery,tt32915874,Lilith Fair: Building a Mystery,Lilith Fair: Building a Mystery,lilith fair building a mystery,Documentary,Explores the 1990s all-female music festival Lilith Fair.,,,,
The Passion of Joan of Arc,5,"foundational in a way that transcends language. in the theater i got emotional thinking about just how much love and care so many people must have poured into restoring and remastering a film such as this that's nearly 100 years old. cinema is beautiful and this is one of the clearest examples of that beauty, i feel lucky to even be able to see something like this",TRUE,0,0.709,0.291,0.9726,the passion of joan of arc,the passion of joan,tt23468446,The Passion of Joan,The Passion of Joan,the passion of joan,Drama,"As war rages, Joan of Stockton is captured and tried by religious authorities for rebellion and witchcraft. The country's destiny and her soul depend upon her spiritual courage in the face of possible execution by fire.",,,,
House,4.5,finally showed this to my dad and about five minutes in he hits me with a 'this is odd' well yes my dude! why do you think we're watching it?,TRUE,0.067,0.785,0.148,0.4199,house,house,tt0201670,House!,House!,house,"Comedy, Romance",A small bingo hall is threatened by the opening of the country's largest bingo centre nearby.,,,,
House,4.5,finally showed this to my dad and about five minutes in he hits me with a 'this is odd' well yes my dude! why do you think we're watching it?,TRUE,0.067,0.785,0.148,0.4199,house,house,tt25399196,House,House,house,Horror,,,,,
House,4.5,finally showed this to my dad and about five minutes in he hits me with a 'this is odd' well yes my dude! why do you think we're watching it?,TRUE,0.067,0.785,0.148,0.4199,house,house,tt0113342,House,House,house,"Comedy, Drama",House centers around Victor and his short takes on the walking wounded that illustrate man's inhumanity to himself.,,,,
House,4.5,finally showed this to my dad and about five minutes in he hits me with a 'this is odd' well yes my dude! why do you think we're watching it?,TRUE,0.067,0.785,0.148,0.4199,house,house,tt0837796,House,House,house,Horror,"In rural Alabama, two couples find themselves in a fight for survival. Running from a maniac (The Tin Man) bent on killing them, they flee deep into the woods and seek refuge in a house.",,,,
House,4.5,finally showed this to my dad and about five minutes in he hits me with a 'this is odd' well yes my dude! why do you think we're watching it?,TRUE,0.067,0.785,0.148,0.4199,house,house,tt8567250,House,House,house,Documentary,,,,,
House,4.5,finally showed this to my dad and about five minutes in he hits me with a 'this is odd' well yes my dude! why do you think we're watching it?,TRUE,0.067,0.785,0.148,0.4199,house,house,tt33366686,House,House,house,Horror,,,,,
House,4.5,finally showed this to my dad and about five minutes in he hits me with a 'this is odd' well yes my dude! why do you think we're watching it?,TRUE,0.067,0.785,0.148,0.4199,house,house,tt0091223,House,House,house,"Comedy, Fantasy, Horror",A troubled writer moves into a haunted house after inheriting it from his aunt.,,,,
Honey Don’t!,2,and i wish that honey didn't 😔,TRUE,0.123,0.605,0.272,0.3565,honey don t,honey don t,tt30645201,Honey Don't!,Honey Don't!,honey don t,"Comedy, Crime, Mystery, Thriller","A dark comedy about Honey O'Donahue, a small-town private investigator, who delves into a series of strange deaths tied to a mysterious church.",,,,
Black Swan,4.5,a plethora of all timers in this but i gotta say 'did you have some sort of lezzy wet dream about me?' still hits like a ton of bricks,TRUE,0,0.824,0.176,0.6956,black swan,black swan,tt0947798,Black Swan,Black Swan,black swan,"Drama, Thriller","Nina is a talented but unstable ballerina on the verge of stardom. Pushed to the breaking point by her artistic director and a seductive rival, Nina's grip on reality slips, plunging her into a waking nightmare.",,,,
Black Swan,4.5,a plethora of all timers in this but i gotta say 'did you have some sort of lezzy wet dream about me?' still hits like a ton of bricks,TRUE,0,0.824,0.176,0.6956,black swan,black swan,tt0271400,Black Swan,Black Swan,black swan,"Drama, Comedy","Set against the majestic landscape of Canada's Bay of Fundy and the highest tides in the world, Black Swan is a dark comedy that weaves the innocent world of childhood, against the adult world of love, betrayal and murder.",,,,
Scott Pilgrim vs. the World,5,"oh i'd love to postpone darlin', but i just cashed my last rain check 
what's that from? 
MY BRAIN 😡",TRUE,0.063,0.824,0.113,0.2846,scott pilgrim vs the world,scott pilgrim vs the world,tt0446029,Scott Pilgrim vs. the World,Scott Pilgrim vs. the World,scott pilgrim vs the world,"Action, Comedy, Fantasy, Romance","A young man must defeat his new girlfriend's seven evil exes, who are willing to do anything to prevent her happiness with someone else.",,,,
Freakier Friday,,perfect example of a movie that shouldn't exist ❤️,TRUE,0,0.709,0.291,0.5719,freakier friday,freakier friday,tt31956415,Freakier Friday,Freakier Friday,freakier friday,"Comedy, Family, Fantasy","22 years after Tess and Anna endured an identity crisis, Anna now has a daughter and a soon-to-be stepdaughter. As they navigate the challenges that come when two families merge, Tess and Anna discover that lightning might strike twice.",,,,
Sky High,4,that one dudes name was WARREN PEACE,TRUE,0,0.586,0.414,0.6408,sky high,sky high,tt0013607,Sky High,Sky High,sky high,"Action, Drama, Romance, Western",A government agent infiltrates a gang of Chinese immigrant smugglers and pursues their ringleader throughout the heart of the Southwestern desert.,,,,
Sky High,4,that one dudes name was WARREN PEACE,TRUE,0,0.586,0.414,0.6408,sky high,sky high,tt0405325,Sky High,Sky High,sky high,"Action, Comedy, Family, Sci-Fi","Set in an era where superheroes are commonly known and accepted, young William Stronghold, the son of the Commander and Jetstream, tries to find a balance between being a normal teenager and an extraordinary being.",,,,
Sky High,4,that one dudes name was WARREN PEACE,TRUE,0,0.586,0.414,0.6408,sky high,sky high,tt7099306,Sky High,Sky High,sky high,Adventure,,,,,
Sky High,4,that one dudes name was WARREN PEACE,TRUE,0,0.586,0.414,0.6408,sky high,sky high,tt0388420,Sky High,Sky High!,sky high,Documentary,"A brief history of flight, focusing on air racing. Beginning at the start of air racing in France in 1910, the film progresses onto footage of more recent races at Cape May, NJ; Reno, NV; San Diego, CA and a 1,000 mile event at Mojave.",,,,
Sky High,4,that one dudes name was WARREN PEACE,TRUE,0,0.586,0.414,0.6408,sky high,sky high,tt0045157,Sky High,Sky High,sky high,Comedy,"When he is told that he is to spend three more years as a tailgunner, goofball GI Herbert Pumice thinks that a promotion--which he has little to no chance of getting--will get him out of the job he hates. He asks his girlfriend Sally, who owns the base café, for help. She goes to the base commander, Col. Baker--who she knows has a crush on her--to help out Herbert. Col. Baker schedules a promotion hearing for Herbert that Friday. He naturally fails it miserably, and then learns that Col. Baker is going out on a date with Sally. Meanwhile, the base military intelligence officer discovers that Herbert is a dead-ringer for the head of a spy ring intending to sabotage a new automated plane, and gets Herbert assigned to infiltrate the gang. Complications ensue.",,,,
Sky High,4,that one dudes name was WARREN PEACE,TRUE,0,0.586,0.414,0.6408,sky high,sky high,tt6394140,Sky High,Sky High,sky high,Biography,,,,,
Sky High,4,that one dudes name was WARREN PEACE,TRUE,0,0.586,0.414,0.6408,sky high,sky high,tt2466604,Sky High,Sky High,sky high,"Documentary, Adventure, Drama","Sky High is a documentary that unfolds the story of twenty-one-year-old Jarrett Martin. Jarrett is a thrill-seeker who continues to BASE jump and skydive, even after a horrific accident left him paralyzed from the chest down.",,,,
Sky High,4,that one dudes name was WARREN PEACE,TRUE,0,0.586,0.414,0.6408,sky high,sky high,tt0173682,Sky High,Sky High,sky high,"Adventure, Comedy",Watch free on Tubi. Link to contain: movies/100027523/sky-high. Three American college students traveling in Greece find themselves thrust into the world of international spies when an experimental mind control device falls in their hands.,,,,
Sky High,4,that one dudes name was WARREN PEACE,TRUE,0,0.586,0.414,0.6408,sky high,sky high,tt0398563,Sky High,Sky High,sky high,"Action, Adventure, Drama, Fantasy, Horror, Mystery, Romance, Sci-Fi, Thriller","A detective hunts a killer who is removing girls hearts. When his own fiancée falls victim to the killer, the detective discovers the otherworldly intentions of the killer and is helped from beyond the grave by his fiancée.",,,,
Weapons,4,"this fucking rocks. i will say, my biggest problem with it is the same problem i had with barbarian: it's kind of a one and done sorta plot for me, extremely entertaining when going in cold with a packed crowd, but i don't feel very compelled to revisit any time soon now that i know what happens. not a huge detriment, so i don't mind. honestly i just love how popular horror movies like this are becoming. the masses crave original scares!!!!!!",TRUE,0.187,0.648,0.165,0.4412,weapons,weapons,tt26581740,Weapons,Weapons,weapons,"Horror, Mystery","When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance.",,,,
Weapons,4,"this fucking rocks. i will say, my biggest problem with it is the same problem i had with barbarian: it's kind of a one and done sorta plot for me, extremely entertaining when going in cold with a packed crowd, but i don't feel very compelled to revisit any time soon now that i know what happens. not a huge detriment, so i don't mind. honestly i just love how popular horror movies like this are becoming. the masses crave original scares!!!!!!",TRUE,0.187,0.648,0.165,0.4412,weapons,weapons,tt0497470,Weapons,Weapons,weapons,"Crime, Drama","Weapons presents a series of brutal, seemingly random youth-related killings over the course of a weekend in a typical small town in America,and tragically reveals how they are all interrelated.",,,,
Superman,3.5,i like that he is nice and flies fast and has a silly dog. kinda feels like a ray of sunshine in these trying times i'm not gonna lie,TRUE,0,0.67,0.33,0.8696,superman,superman,tt5950044,Superman,Superman,superman,"Action, Adventure, Sci-Fi","Superman must reconcile his alien Kryptonian heritage with his human upbringing as reporter Clark Kent. As the embodiment of truth, justice and the human way he soon finds himself in a world that views these as old-fashioned.",,,,
Superman,3.5,i like that he is nice and flies fast and has a silly dog. kinda feels like a ray of sunshine in these trying times i'm not gonna lie,TRUE,0,0.67,0.33,0.8696,superman,superman,tt0078346,Superman,Superman,superman,"Action, Adventure, Sci-Fi","An alien orphan is sent from his dying planet to Earth, where he grows up to become his adoptive home's first and greatest superhero.",,,,
Superman,3.5,i like that he is nice and flies fast and has a silly dog. kinda feels like a ray of sunshine in these trying times i'm not gonna lie,TRUE,0,0.67,0.33,0.8696,superman,superman,tt0334440,Superman,Superman,superman,"Comedy, Thriller",A young man with a tragic past tries to exact revenge by framing the men responsible.,,,,
Superman,3.5,i like that he is nice and flies fast and has a silly dog. kinda feels like a ray of sunshine in these trying times i'm not gonna lie,TRUE,0,0.67,0.33,0.8696,superman,superman,tt29282270,Superman,Superman,superman,Action,,,,,
Superman,3.5,i like that he is nice and flies fast and has a silly dog. kinda feels like a ray of sunshine in these trying times i'm not gonna lie,TRUE,0,0.67,0.33,0.8696,superman,superman,tt11603794,Superman,Superman,superman,Romance,,,,,
Superman,3.5,i like that he is nice and flies fast and has a silly dog. kinda feels like a ray of sunshine in these trying times i'm not gonna lie,TRUE,0,0.67,0.33,0.8696,superman,superman,tt0040852,Superman,Superman,superman,"Action, Sci-Fi",Superman comes to Earth as a child and grows up to be his home's first superhero with his first major challenge being to oppose The Spider Lady.,,,,
Superman,3.5,i like that he is nice and flies fast and has a silly dog. kinda feels like a ray of sunshine in these trying times i'm not gonna lie,TRUE,0,0.67,0.33,0.8696,superman,superman,tt0297416,Superman,Superman,superman,"Action, Adventure, Sci-Fi","A young baby from the doomed planet Krypton is sent to Earth, where he is adopted by an elderly couple in India who name him Shekhar. After growing to an adult and learning about his origins and powers, he goes to the city in search of his school sweetheart, Gita, who has become a newspaper reporter. At the same time, Verma, Shekhar's rival for Gita's affection in their school days, has gone on to become a crime lord and general super-villain. Verma has hatched at plan to become rich by devastating part of India with natural disasters, then buying up all of the abandoned land. Will Superman/Shekhar be able to put a stop to Verma's evil plan? Will he win Gita's heart? Will he keep his double identity a secret?",,,,
Superman,3.5,i like that he is nice and flies fast and has a silly dog. kinda feels like a ray of sunshine in these trying times i'm not gonna lie,TRUE,0,0.67,0.33,0.8696,superman,superman,tt0371968,Superman,Superman,superman,"Fantasy, Musical, Sci-Fi",An orphaned boy is granted superpowers after praying to the god Hanuman.,,,,
Superman,3.5,i like that he is nice and flies fast and has a silly dog. kinda feels like a ray of sunshine in these trying times i'm not gonna lie,TRUE,0,0.67,0.33,0.8696,superman,superman,tt32527236,Superman,Superman,superman,Sci-Fi,"Before the star Krypton explodes, a scientist sends his son to Earth. Here, he is told of his origin, and promises to use his amazing powers for good only. He saves a train in which Lois Lane and Jimmy Olsen, news reporters, are traveling.",,,,
Superman,3.5,i like that he is nice and flies fast and has a silly dog. kinda feels like a ray of sunshine in these trying times i'm not gonna lie,TRUE,0,0.67,0.33,0.8696,superman,superman,tt0070754,Superman,Superman,superman,"Action, Adventure, Sci-Fi","A compilation of four episodes of ""The Adventures of Superman"" tv series: episode #95 (""The Mysterious Cube""), #100 (""Superman's Wife""), #80 (""Tin Hero""), and #82 (""The Town That Wasn't"").",,,,
Superman,3.5,i like that he is nice and flies fast and has a silly dog. kinda feels like a ray of sunshine in these trying times i'm not gonna lie,TRUE,0,0.67,0.33,0.8696,superman,superman,tt0230834,Superman,Superman,superman,"Action, Adventure",,,,,
Drive,5,one of the best movies ever like. absolute dynamite,TRUE,0,0.417,0.583,0.8126,drive,drive,tt0780504,Drive,Drive,drive,"Action, Drama",A mysterious Hollywood action film stuntman gets in trouble with gangsters when he tries to help his neighbor's husband rob a pawn shop while serving as his getaway driver.,,,,
